Prueba 1
T1 T2 %Carga
424.0 47.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
596.0 47.0 0.0
595.0 48.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
517.0 48.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
595.0 48.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
595.0 48.0 0.0
596.0 47.0 0.0
15.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
15.0 0.0 0.0
16.0 0.0 21.1
0.0 0.0 21.1
0.0 0.0 21.1
0.0 0.0 21.1
0.0 0.0 21.1
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 18.7
0.0 0.0 13.0
0.0 0.0 13.0
0.0 0.0 13.0
0.0 0.0 13.0
0.0 0.0 13.0
0.0 0.0 13.1
0.0 0.0 13.1
0.0 0.0 13.1
15.0 0.0 13.1
0.0 0.0 13.1
0.0 0.0 10.7
0.0 0.0 10.7
0.0 0.0 10.7
0.0 0.0 10.7
0.0 0.0 10.7
0.0 0.0 14.7
0.0 0.0 14.7
0.0 16.0 14.7
0.0 0.0 14.7
0.0 0.0 14.7
0.0 0.0 10.1
0.0 0.0 10.1
0.0 0.0 10.1
0.0 0.0 10.1
0.0 0.0 10.1
0.0 0.0 15.2
0.0 16.0 15.2
0.0 0.0 15.2
0.0 0.0 15.2
16.0 0.0 15.2
0.0 16.0 13.2
0.0 0.0 13.2
16.0 0.0 13.2
0.0 0.0 13.2
0.0 0.0 13.2
0.0 0.0 17.3
15.0 0.0 17.3
0.0 0.0 17.3
0.0 0.0 17.3
0.0 0.0 17.3
0.0 0.0 20.1
0.0 0.0 20.1
0.0 0.0 20.1
0.0 0.0 20.1
16.0 0.0 20.1
0.0 0.0 15.1
Numero de Fallas:1
Prueba 2
T1 T2 %Carga
0.0 15.0 0.0
156.0 15.0 0.0
156.0 15.0 0.0
0.0 0.0 0.0
156.0 15.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 13.3
16.0 0.0 13.3
0.0 0.0 13.3
0.0 0.0 13.3
31.0 0.0 13.3
0.0 16.0 12.4
0.0 0.0 12.4
16.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 12.4
0.0 0.0 15.5
0.0 0.0 15.5
0.0 0.0 15.5
0.0 0.0 15.5
0.0 0.0 16.2
0.0 0.0 16.2
0.0 0.0 16.2
0.0 0.0 16.2
0.0 0.0 16.2
0.0 0.0 16.2
0.0 0.0 17.2
0.0 0.0 17.2
16.0 0.0 17.2
0.0 0.0 17.2
0.0 0.0 17.2
0.0 0.0 15.1
15.0 0.0 15.1
0.0 0.0 15.1
0.0 0.0 15.1
0.0 0.0 15.1
0.0 0.0 10.3
16.0 0.0 10.3
0.0 0.0 10.3
0.0 0.0 10.3
0.0 0.0 10.3
16.0 0.0 14.0
0.0 0.0 14.0
0.0 0.0 14.0
16.0 0.0 14.0
0.0 0.0 14.0
0.0 0.0 29.6
16.0 0.0 29.6
0.0 0.0 29.6
0.0 0.0 29.6
0.0 0.0 29.6
0.0 0.0 29.6
0.0 0.0 10.9
0.0 0.0 10.9
0.0 0.0 10.9
0.0 15.0 10.9
0.0 0.0 10.9
0.0 0.0 23.2
0.0 0.0 23.2
15.0 0.0 23.2
16.0 0.0 23.2
0.0 0.0 23.2
